rank,test_means,test_stds,train_means,train_stds,n_estimators,learning_rate,reg_alpha,max_depth,reg_lambda,gamma
11,0.9519408185160335,0.013215436622831762,0.9977560886698846,0.0006927854324029414,360,1.1400000000000001,7.29,12,2.36,0.8226
86,0.40015272964745785,0.3267238132136643,0.39984696317551405,0.3264737082175919,390,9.1,2.83,35,1.24,0.7729
99,0.13318025258323768,0.26636050516647536,0.13333333333333333,0.26666666666666666,320,9.32,8.53,22,1.22,0.8546
59,0.6821104283037995,0.34359252408208885,0.7257633295233181,0.36648179814179965,200,7.59,2.14,43,9.0,0.8644000000000001
45,0.8546257862833542,0.0650693004092758,0.9231328592737835,0.10525830617086632,400,5.87,8.21,26,5.91,0.9519000000000001
12,0.9512310449743258,0.006312827709220732,0.9993107161530081,0.0007512360471569542,210,1.51,6.49,36,9.49,0.3377
98,0.1334862385321101,0.2669724770642202,0.13325681492109037,0.2665136298421807,80,8.52,3.5300000000000002,41,1.47,0.1513
13,0.9484788181261005,0.008407121672186935,0.9730491355162598,0.0013173570248130595,420,1.06,7.91,1,1.92,0.2499
17,0.9423244517188379,0.007034299732540052,1.0,0.0,480,2.6799999999999997,0.13,7,8.5,0.17529999999999998
53,0.7926024180007297,0.06789495942187689,0.8257171497084826,0.09047038466657878,260,6.85,4.32,16,8.94,0.4307
70,0.5547176527870242,0.24302378713690814,0.5553625719985927,0.25530982780113487,210,8.53,9.31,15,5.83,0.6746
71,0.5333329822306955,0.2666673688713645,0.5331802965088474,0.2665902031614303,60,6.1899999999999995,7.91,7,1.6300000000000001,0.9266
75,0.47714170267388595,0.285367615917971,0.48020636631973235,0.28021862698926653,320,8.76,3.58,17,6.0600000000000005,0.9253
2,0.9782476346257833,0.0084168025762831,0.9999138302455839,0.00017233950883239755,440,0.01,1.6300000000000001,14,2.61,0.8141
71,0.5333329822306955,0.2666673688713645,0.5331802965088474,0.2665902031614303,270,7.57,4.23,2,2.93,0.0162
36,0.9076886123797344,0.01366293787712855,0.9995692996045946,0.0004719712176688944,470,3.51,4.68,48,5.23,0.3735
88,0.3707372875755247,0.30738460397090883,0.36883152756476856,0.30644018175511184,290,8.06,1.28,37,3.71,0.4617
26,0.9283097874057862,0.009745110602142526,0.9995694479812706,0.00047156485976600855,310,2.9699999999999998,3.13,19,7.2,0.507
23,0.9301835694753251,0.009515205106663573,0.9999139044339216,0.000172191132156696,430,2.36,3.65,37,3.18,0.101
97,0.26053684935235444,0.3192533759661619,0.2682525156949511,0.32855239700088534,360,5.22,2.74,13,1.84,0.4943
42,0.8872022476649818,0.015892896164863442,0.9947445276322927,0.0013775827356045343,440,4.9399999999999995,4.14,6,7.37,0.4912
22,0.9317616591184488,0.012633033288613316,0.9976699937150102,0.0012412196318951465,290,2.6799999999999997,7.12,36,5.25,0.647
29,0.9269696323830534,0.013767346302735536,0.9968052426801819,0.0008901522867316933,270,2.17,9.69,21,2.17,0.0131
39,0.8932097862036537,0.011465054310088893,0.9964700806420652,0.0006887683337638737,100,4.109999999999999,3.79,17,6.75,0.5247
40,0.8896792340435956,0.014020479526282263,0.9893317664075484,0.0026027079211248735,390,5.37,6.92,46,8.59,0.5740000000000001
16,0.9441527155107113,0.01226503215272178,0.9991383021677903,0.0002728455816978547,50,1.36,5.51,18,0.19,0.7752
96,0.26486672972487374,0.31617795736442716,0.2779985141887384,0.32128377954891574,290,5.47,1.8900000000000001,24,2.5500000000000003,0.8505
25,0.9283220513651317,0.009223930590375936,0.9996555435473488,0.0001722282862451171,250,2.78,4.86,13,3.06,0.9729
28,0.9273104546333448,0.011825572049163966,0.9946372608650776,0.002665680566604452,330,2.26,9.21,47,5.5200000000000005,0.917
73,0.5285717677785345,0.2647476453453515,0.5324090782012544,0.26660442887875274,70,8.84,7.99,3,5.37,0.794
60,0.6782879433492093,0.01436009205472684,0.6819322122732454,0.018620968430416378,360,6.16,4.88,43,3.87,0.3389
33,0.9231593246036333,0.005806014090619802,0.9970705216121865,0.0007407558351065843,340,2.9499999999999997,7.18,50,7.17,0.9555
15,0.9451826542150232,0.009130842607524864,0.9968917866542049,0.0010005303583069912,210,1.5,8.75,8,8.93,0.4406
89,0.32855654752547964,0.30151775896587846,0.32598486983113045,0.3000338095086095,80,5.97,4.91,17,3.45,0.685
66,0.588081536531271,0.14617031395854993,0.5994740977261196,0.13990215954041593,320,9.84,0.23,3,9.450000000000001,0.0376
3,0.9780088558614913,0.008732651475727212,1.0,0.0,230,0.26,9.51,28,8.43,0.2431
