rank,test_means,test_stds,train_means,train_stds,n_estimators,learning_rate,reg_alpha,max_depth,reg_lambda,gamma
32,0.9246498607152759,0.010436164774838113,0.9988798669332937,0.000584738245923054,60,3.4099999999999997,4.97,24,6.640000000000001,0.5556
94,0.26636050516647536,0.3262236626439135,0.26666666666666666,0.3265986323710904,100,9.83,8.73,39,0.93,0.8968
38,0.8956260071295137,0.01497259437226219,0.9891630618545679,0.016532212471823196,250,3.7399999999999998,2.31,17,4.5,0.8057000000000001
90,0.28756084194558185,0.3448608864133801,0.2856784841509112,0.3424329427389522,370,8.04,6.1000000000000005,40,3.45,0.5948
24,0.9284954079407599,0.019853581990236027,0.9985354851166139,0.0012365620897509294,370,2.81,5.36,18,4.15,0.7693
93,0.266513585916571,0.32641123724751625,0.26725820763087843,0.3273244554274633,210,6.95,1.42,44,3.59,0.9951
94,0.26636050516647536,0.3262236626439135,0.26666666666666666,0.3265986323710904,470,8.71,7.7,6,1.73,0.2859
78,0.45452405845738725,0.3478172081941766,0.48300067488641607,0.3591483202543592,320,7.62,0.8200000000000001,25,8.09,0.8855000000000001
81,0.42291176117258117,0.3353704657635053,0.4376063280662166,0.3482300391362814,390,7.64,8.64,3,5.14,0.9477
44,0.8733262573629436,0.027324653332762714,0.9533296417460129,0.05096382815905913,120,5.68,3.84,42,9.96,0.07970000000000001
87,0.3998467436985854,0.32647397709809056,0.39992348158775703,0.32653618523384725,150,7.91,6.83,21,0.09,0.15539999999999998
19,0.9357942663250309,0.00921262104954084,0.9997414906408182,0.000344771988376067,290,2.5,2.27,32,8.67,0.5958
50,0.8023345484588305,0.20270091478134,0.8535351459705811,0.2382363052710678,80,2.6399999999999997,4.53,3,2.7,0.5725
1,0.9794196354379847,0.006010043507157333,1.0,0.0,240,0.27,6.12,29,9.28,0.05160000000000001
10,0.9542271762817345,0.004246331262550578,0.9994832041024168,0.0003222788574919276,250,1.3,5.61,23,4.6000000000000005,0.2985
35,0.9131982217555095,0.010041216216918088,0.9973264315623845,0.0014535455864431127,240,2.98,9.31,26,1.61,0.9615
57,0.694150617399492,0.3624308169062782,0.7336775674125071,0.38808080144482954,450,2.51,0.8,32,1.18,0.2139
21,0.9321982352892559,0.011415364505143155,0.9997416391453772,0.0003445120454740652,150,2.31,5.39,23,2.04,0.4889
92,0.2669724770642202,0.3269731720871123,0.26651362984218074,0.3264112013051672,110,9.62,8.96,17,0.85,0.5886
61,0.6651948284496553,0.0022570030652793093,0.6701487649856619,0.007157026745315234,200,3.11,2.11,14,0.7000000000000001,0.5076
31,0.9246627839512225,0.013198544349854967,1.0,0.0,300,3.61,0.6900000000000001,21,9.67,0.3661
